2023-04-13 13:31:43,616 - job0 - Model name: alexnet
2023-04-13 13:31:57,091 - job0 - wrk_cp_t | 1205.55 ms
2023-04-13 13:31:57,452 - job0 - wrk_cp_t | 5.37 ms
2023-04-13 13:31:57,758 - job0 - wrk_cp_t | 6.16 ms
2023-04-13 13:31:58,089 - job0 - wrk_cp_t | 5.04 ms
2023-04-13 13:31:58,297 - job0 - wrk_cp_t | 4.80 ms
2023-04-13 13:31:58,510 - job0 - wrk_cp_t | 4.82 ms
2023-04-13 13:31:58,803 - job0 - wrk_cp_t | 5.10 ms
2023-04-13 13:31:58,974 - job0 - wrk_cp_t | 4.84 ms
2023-04-13 13:31:59,161 - job0 - wrk_cp_t | 5.30 ms
2023-04-13 13:31:59,634 - job0 - wrk_cp_t | 5.03 ms
2023-04-13 13:31:59,851 - job0 - wrk_cp_t | 5.48 ms
2023-04-13 13:32:00,252 - job0 - wrk_cp_t | 4.93 ms
2023-04-13 13:32:00,476 - job0 - wrk_cp_t | 6.47 ms
2023-04-13 13:32:00,855 - job0 - wrk_cp_t | 7.37 ms
2023-04-13 13:32:01,173 - job0 - wrk_cp_t | 5.34 ms
2023-04-13 13:32:01,443 - job0 - wrk_cp_t | 4.96 ms
2023-04-13 13:32:01,634 - job0 - wrk_cp_t | 5.34 ms
2023-04-13 13:32:01,984 - job0 - wrk_cp_t | 4.97 ms
2023-04-13 13:32:02,359 - job0 - wrk_cp_t | 6.51 ms
2023-04-13 13:32:02,572 - job0 - wrk_cp_t | 5.35 ms
2023-04-13 13:32:02,899 - job0 - wrk_cp_t | 6.72 ms
2023-04-13 13:32:03,119 - job0 - wrk_cp_t | 5.97 ms
2023-04-13 13:32:03,348 - job0 - wrk_cp_t | 7.50 ms
2023-04-13 13:32:03,629 - job0 - wrk_cp_t | 5.09 ms
2023-04-13 13:32:03,861 - job0 - wrk_cp_t | 6.04 ms
2023-04-13 13:32:04,145 - job0 - wrk_cp_t | 6.68 ms
2023-04-13 13:32:04,362 - job0 - wrk_cp_t | 4.87 ms
2023-04-13 13:32:04,774 - job0 - wrk_cp_t | 5.15 ms
2023-04-13 13:32:05,000 - job0 - wrk_cp_t | 6.64 ms
2023-04-13 13:32:05,363 - job0 - wrk_cp_t | 4.97 ms
2023-04-13 13:32:05,562 - job0 - wrk_cp_t | 4.94 ms
2023-04-13 13:32:05,803 - job0 - wrk_cp_t | 6.69 ms
2023-04-13 13:32:05,969 - job0 - wrk_cp_t | 5.04 ms
2023-04-13 13:32:06,260 - job0 - wrk_cp_t | 5.05 ms
2023-04-13 13:32:06,549 - job0 - wrk_cp_t | 4.99 ms
2023-04-13 13:32:06,950 - job0 - wrk_cp_t | 6.57 ms
2023-04-13 13:32:07,136 - job0 - wrk_cp_t | 5.50 ms
2023-04-13 13:32:07,305 - job0 - wrk_cp_t | 4.80 ms
2023-04-13 13:32:07,492 - job0 - wrk_cp_t | 4.96 ms
2023-04-13 13:32:07,712 - job0 - wrk_cp_t | 4.87 ms
2023-04-13 13:32:07,998 - job0 - wrk_cp_t | 6.49 ms
2023-04-13 13:32:08,274 - job0 - wrk_cp_t | 6.36 ms
2023-04-13 13:32:08,542 - job0 - wrk_cp_t | 7.17 ms
2023-04-13 13:32:08,768 - job0 - wrk_cp_t | 6.64 ms
2023-04-13 13:32:09,102 - job0 - wrk_cp_t | 6.54 ms
2023-04-13 13:32:09,261 - job0 - wrk_cp_t | 4.84 ms
2023-04-13 13:32:09,553 - job0 - wrk_cp_t | 5.07 ms
2023-04-13 13:32:09,806 - job0 - wrk_cp_t | 6.72 ms
2023-04-13 13:32:09,973 - job0 - wrk_cp_t | 5.52 ms
2023-04-13 13:32:10,244 - job0 - wrk_cp_t | 6.84 ms
2023-04-13 13:32:10,434 - job0 - wrk_cp_t | 5.53 ms
2023-04-13 13:32:10,823 - job0 - wrk_cp_t | 5.22 ms
2023-04-13 13:32:11,015 - job0 - wrk_cp_t | 5.81 ms
2023-04-13 13:32:11,388 - job0 - wrk_cp_t | 5.68 ms
2023-04-13 13:32:11,573 - job0 - wrk_cp_t | 6.49 ms
2023-04-13 13:32:11,976 - job0 - wrk_cp_t | 6.51 ms
2023-04-13 13:32:12,126 - job0 - wrk_cp_t | 5.47 ms
2023-04-13 13:32:12,382 - job0 - wrk_cp_t | 6.34 ms
2023-04-13 13:32:12,608 - job0 - wrk_cp_t | 5.06 ms
2023-04-13 13:32:12,826 - job0 - wrk_cp_t | 5.02 ms
2023-04-13 13:32:13,041 - job0 - wrk_cp_t | 5.08 ms
2023-04-13 13:32:13,247 - job0 - wrk_cp_t | 5.17 ms
2023-04-13 13:32:13,553 - job0 - wrk_cp_t | 5.15 ms
2023-04-13 13:32:13,743 - job0 - wrk_cp_t | 5.16 ms
2023-04-13 13:32:14,035 - job0 - wrk_cp_t | 5.20 ms
2023-04-13 13:32:14,318 - job0 - wrk_cp_t | 5.01 ms
2023-04-13 13:32:14,526 - job0 - wrk_cp_t | 5.00 ms
2023-04-13 13:32:14,859 - job0 - wrk_cp_t | 6.31 ms
2023-04-13 13:32:15,146 - job0 - wrk_cp_t | 6.32 ms
2023-04-13 13:32:15,382 - job0 - wrk_cp_t | 5.12 ms
2023-04-13 13:32:15,695 - job0 - wrk_cp_t | 4.89 ms
2023-04-13 13:32:15,976 - job0 - wrk_cp_t | 6.04 ms
2023-04-13 13:32:16,136 - job0 - wrk_cp_t | 5.14 ms
2023-04-13 13:32:16,522 - job0 - wrk_cp_t | 5.06 ms
2023-04-13 13:32:16,933 - job0 - wrk_cp_t | 4.88 ms
2023-04-13 13:32:17,289 - job0 - wrk_cp_t | 4.91 ms
2023-04-13 13:32:17,553 - job0 - wrk_cp_t | 6.44 ms
2023-04-13 13:32:17,784 - job0 - wrk_cp_t | 4.83 ms
2023-04-13 13:32:17,976 - job0 - wrk_cp_t | 5.67 ms
2023-04-13 13:32:18,190 - job0 - wrk_cp_t | 7.60 ms
2023-04-13 13:32:18,544 - job0 - wrk_cp_t | 5.00 ms
2023-04-13 13:32:18,865 - job0 - wrk_cp_t | 4.90 ms
2023-04-13 13:32:19,072 - job0 - wrk_cp_t | 5.76 ms
2023-04-13 13:32:19,360 - job0 - wrk_cp_t | 5.68 ms
2023-04-13 13:32:19,592 - job0 - wrk_cp_t | 5.62 ms
2023-04-13 13:32:19,876 - job0 - wrk_cp_t | 6.19 ms
2023-04-13 13:32:20,222 - job0 - wrk_cp_t | 5.16 ms
